timestamp,value
2026-01-01 00:00:00,90.596
2026-01-01 00:05:00,89.921
2026-01-01 00:10:00,90.952
2026-01-01 00:15:00,92.089
2026-01-01 00:20:00,90.068
2026-01-01 00:25:00,90.155
2026-01-01 00:30:00,92.417
2026-01-01 00:35:00,91.529
2026-01-01 00:40:00,90.131
2026-01-01 00:45:00,91.431
2026-01-01 00:50:00,90.31
2026-01-01 00:55:00,90.392
2026-01-01 01:00:00,91.326
2026-01-01 01:05:00,88.823
2026-01-01 01:10:00,89.133
2026-01-01 01:15:00,90.611
2026-01-01 01:20:00,90.153
2026-01-01 01:25:00,91.827
2026-01-01 01:30:00,90.441
2026-01-01 01:35:00,89.916
2026-01-01 01:40:00,93.449
2026-01-01 01:45:00,91.498
2026-01-01 01:50:00,91.928
2026-01-01 01:55:00,90.214
2026-01-01 02:00:00,91.347
2026-01-01 02:05:00,92.208
2026-01-01 02:10:00,90.768
2026-01-01 02:15:00,92.673
2026-01-01 02:20:00,91.574
2026-01-01 02:25:00,92.015
2026-01-01 02:30:00,91.713
2026-01-01 02:35:00,94.726
2026-01-01 02:40:00,92.555
2026-01-01 02:45:00,91.368
2026-01-01 02:50:00,93.689
2026-01-01 02:55:00,91.301
2026-01-01 03:00:00,93.079
2026-01-01 03:05:00,90.538
2026-01-01 03:10:00,91.355
2026-01-01 03:15:00,93.244
2026-01-01 03:20:00,93.95
2026-01-01 03:25:00,93.325
2026-01-01 03:30:00,93.035
2026-01-01 03:35:00,92.864
2026-01-01 03:40:00,91.502
2026-01-01 03:45:00,92.462
2026-01-01 03:50:00,92.821
2026-01-01 03:55:00,94.688
2026-01-01 04:00:00,93.876
2026-01-01 04:05:00,91.391
2026-01-01 04:10:00,93.937
2026-01-01 04:15:00,93.125
2026-01-01 04:20:00,92.813
2026-01-01 04:25:00,94.395
2026-01-01 04:30:00,94.933
2026-01-01 04:35:00,94.846
2026-01-01 04:40:00,92.752
2026-01-01 04:45:00,93.417
2026-01-01 04:50:00,94.212
2026-01-01 04:55:00,95.011
2026-01-01 05:00:00,93.289
2026-01-01 05:05:00,93.663
2026-01-01 05:10:00,92.578
2026-01-01 05:15:00,92.488
2026-01-01 05:20:00,94.914
2026-01-01 05:25:00,95.581
2026-01-01 05:30:00,93.879
2026-01-01 05:35:00,95.18
2026-01-01 05:40:00,94.419
2026-01-01 05:45:00,93.217
2026-01-01 05:50:00,94.43
2026-01-01 05:55:00,95.845
2026-01-01 06:00:00,93.957
2026-01-01 06:05:00,95.877
2026-01-01 06:10:00,90.852
2026-01-01 06:15:00,94.978
2026-01-01 06:20:00,94.089
2026-01-01 06:25:00,93.617
2026-01-01 06:30:00,94.076
2026-01-01 06:35:00,91.568
2026-01-01 06:40:00,93.676
2026-01-01 06:45:00,94.352
2026-01-01 06:50:00,95.679
2026-01-01 06:55:00,93.263
2026-01-01 07:00:00,92.894
2026-01-01 07:05:00,93.238
2026-01-01 07:10:00,94.913
2026-01-01 07:15:00,94.182
2026-01-01 07:20:00,93.123
2026-01-01 07:25:00,94.344
